Region,Time,Value
Wyndham,2016,227008
Wyndham,2017,241071
Wyndham,2018,255322
Yarra,2016,92894
Yarra,2017,95994
Yarra,2018,98521
Yarra Ranges,2016,155226
Yarra Ranges,2017,156869
Yarra Ranges,2018,158173
Yarriambiack,2016,6743
Yarriambiack,2017,6684
Yarriambiack,2018,6658
